127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.000377
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.002877
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000304
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000829
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.002175
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001113
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000913
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000458
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000417
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000457
127.0.0.1, 2014-06-04 16:45:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000180
127.0.0.1, 2014-06-04 16:45:13, POST, /admin/default/index, HTTP/1.1, 200, 0.030862
127.0.0.1, 2014-06-04 16:45:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2014-06-04 16:45:17, POST, /admin/default/index, HTTP/1.1, 303, 0.030062
127.0.0.1, 2014-06-04 16:45:17, GET, /admin/default/site, HTTP/1.1, 200, 0.048942
127.0.0.1, 2014-06-04 16:45:17, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.001186
127.0.0.1, 2014-06-04 16:45:17, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000838
127.0.0.1, 2014-06-04 16:45:17, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.000600
127.0.0.1, 2014-06-04 16:45:18, POST, /admin/default/check_version, HTTP/1.1, 200, 0.508808
127.0.0.1, 2014-06-04 16:45:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
127.0.0.1, 2014-06-04 16:45:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2014-06-04 16:45:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2014-06-04 16:45:23, GET, /socialstore/default/index, HTTP/1.1, 500, 1.314522
127.0.0.1, 2014-06-04 16:45:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2014-06-04 16:45:28, GET, /admin/default/site, HTTP/1.1, 200, 0.041752
127.0.0.1, 2014-06-04 16:45:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2014-06-04 16:45:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000190
127.0.0.1, 2014-06-04 16:45:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2014-06-04 16:45:35, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.154320
127.0.0.1, 2014-06-04 16:45:35, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000439
127.0.0.1, 2014-06-04 16:45:35, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000396
127.0.0.1, 2014-06-04 16:45:35, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000755
127.0.0.1, 2014-06-04 16:45:35, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000431
127.0.0.1, 2014-06-04 16:45:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2014-06-04 16:45:51, GET, /admin/default/peek/socialstore/models/db.py, HTTP/1.1, 200, 0.036548
127.0.0.1, 2014-06-04 16:45:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000206
127.0.0.1, 2014-06-04 16:45:58, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.085585
127.0.0.1, 2014-06-04 16:45:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000216
127.0.0.1, 2014-06-04 16:45:58, GET, /admin/default/site, HTTP/1.1, 200, 0.038985
127.0.0.1, 2014-06-04 16:45:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000262
127.0.0.1, 2014-06-04 16:45:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000239
127.0.0.1, 2014-06-04 16:45:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2014-06-04 16:46:01, POST, /admin/default/enable/socialstore, HTTP/1.1, 200, 0.060957
127.0.0.1, 2014-06-04 16:46:05, GET, /admin/default/uninstall/socialstore, HTTP/1.1, 200, 0.032735
127.0.0.1, 2014-06-04 16:46:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2014-06-04 16:46:06, POST, /admin/default/uninstall/socialstore, HTTP/1.1, 303, 0.338597
127.0.0.1, 2014-06-04 16:46:06, GET, /admin/default/site, HTTP/1.1, 200, 0.035579
127.0.0.1, 2014-06-04 16:46:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2014-06-04 16:46:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000204
127.0.0.1, 2014-06-04 16:46:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000203
127.0.0.1, 2014-06-04 16:46:20, POST, /admin/default/site, HTTP/1.1, 303, 0.189238
127.0.0.1, 2014-06-04 16:46:20, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.072401
127.0.0.1, 2014-06-04 16:46:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000203
127.0.0.1, 2014-06-04 16:46:30, GET, /admin/default/peek/socialstore/models/db.py, HTTP/1.1, 200, 0.035708
127.0.0.1, 2014-06-04 16:46:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/default/edit/socialstore/models/db.py, HTTP/1.1, 200, 0.093023
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000842
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001387
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000897
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002216
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000867
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001753
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000314
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000283
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000571
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000384
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000385
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000590
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000433
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001075
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000378
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001285
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001952
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001027
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000693
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001064
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000432
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001084
